"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05202","Transcriptional misregulation in cancer",157,0.552151585461854,1.5391034879745,0.000143279424528794,0.00293301410211885,0.00223569133010874,2734,"tags=31%, list=17%, signal=26%","3479/890/102723407/8352/8355/5468/8356/862/1991/8358/4233/8357/8900/7490/8842/4613/7850/5154/171558/2209/4211/51513/2078/5087/2322/598/4353/1031/8354/4914/4286/929/2115/4086/85414/3398/3206/3248/1848/10912/1051/2321/4318/5747/3205/4066/3020/7849/3684"
"hsa00190","Oxidative phosphorylation",120,0.592203121852393,1.63186939705815,0.000160460967498106,0.00310224537163004,0.00236468794207735,4574,"tags=67%, list=29%, signal=48%","56901/440567/7388/4709/1351/9377/4715/5464/1337/522/4712/4713/518/1347/4729/4726/10476/4697/533/521/1349/4694/27089/9551/4696/1329/1345/4706/4700/29796/514/4710/4717/10312/4728/1340/4514/54539/55967/4707/6390/7386/539/7384/513/4702/8992/4513/4716/374291/4695/509/7381/527/4722/516/10063/9296/245973/1327/4725/1537/51382/537/1350/4718/4535/10632/4701/51079/535/498/4509/515/6391/4704/4724/10975/4714/4708"
"hsa05203","Viral carcinogenesis",183,0.537054784090076,1.50086008651834,0.000305478175133962,0.00559507394455888,0.0042648476528398,1837,"tags=21%, list=11%, signal=19%","890/8348/991/90993/983/8970/8365/8345/8343/8900/8340/3017/8370/8347/8339/84699/8360/8349/1111/8366/9134/8363/8362/85236/8361/8294/1029/85477/898/1960/1232/3018/3665/8364/8341/7533/5610/128312/5315"
"hsa04270","Vascular smooth muscle contraction",93,0.593189695168915,1.61180754270449,0.000360862498746211,0.00598000712208007,0.00455826314205741,2304,"tags=29%, list=14%, signal=25%","10398/64600/133/5592/800/4638/108/140465/391013/23365/2983/5332/94274/112/26279/1906/776/552/2982/8605/109/81579/27094/79924/136/808/4637"
"hsa04020","Calcium signaling pathway",164,0.538360947359489,1.50274865033689,0.00035672599639492,0.00598000712208007,0.00455826314205741,2266,"tags=28%, list=14%, signal=24%","102723407/2903/1910/4233/1950/4916/6547/5733/2904/4638/7424/5021/4923/108/777/6262/5154/5737/952/4915/5255/116444/7125/8877/5332/487/773/444/776/4914/1131/6915/552/113026/6263/2769/5153/3357/109/6865/5026/136/6869/808/2321/2247"
"hsa05414","Dilated cardiomyopathy",76,0.611065764594784,1.64038284485978,0.000745563844272283,0.0117934644457616,0.00898957362471844,2457,"tags=37%, list=15%, signal=31%","3479/102723407/3674/8516/3690/6547/3693/3672/108/284217/3679/6262/3680/3673/3696/487/112/776/7171/8082/4607/7168/22801/109/1756/784/1837/71"
"hsa04714","Thermogenesis",209,0.516512241295134,1.44844433803734,0.000822181645749974,0.0124399657704779,0.00948236955281435,4574,"tags=50%, list=29%, signal=36%","5468/90993/5592/108/84699/6300/126129/8193/11343/56901/112/152831/2180/440567/7388/27330/109/4709/1351/9377/4715/1374/1337/656/522/4712/4713/518/1347/4729/4726/71/10476/4697/521/1349/4694/27089/9551/4696/1329/1345/4706/4700/29796/514/25915/4710/353500/4717/4728/51103/5600/1340/9586/4514/54539/55967/28958/60/4707/6390/7386/539/7384/513/4702/4513/4716/374291/4695/509/7381/4722/516/10063/79133/1327/4725/1537/2778/5606/10488/3265/1350/4718/4535/10632/4701/6009/51079/91942/8110/498/388753/4509/515/6391/4704/6598/4724/111/10975/4714/4708"
"hsa04610","Complement and coagulation cascades",52,0.6566952909699,1.70699935322336,0.000871465418190795,0.0126362485637665,0.00963198620105616,1946,"tags=42%, list=12%, signal=37%","714/1191/713/7035/5627/2152/11326/9002/710/7450/712/2162/5054/7056/2153/716/717/5270/966/715/725/2161"
"hsa05144","Malaria",42,0.670585700054226,1.71784827668989,0.00104674058219635,0.0145706289041733,0.0111064684931992,1394,"tags=29%, list=9%, signal=26%","2994/3040/2993/6382/3043/3039/4233/6403/6383/7057/3586/3592"
"hsa04612","Antigen processing and presentation",70,-0.420884602678605,-1.64015584100852,0.00134091965967217,0.0179476939063814,0.013680637823376,2912,"tags=39%, list=18%, signal=32%","3824/3115/972/3804/927/926/4801/3117/4800/3305/3127/5994/3312/3113/4261/3122/3109/3111/920/3458/3310/3306/8302/3303/7124/3120/3304"
"hsa05020","Prion disease",244,0.497221192334246,1.4001231498462,0.00190542407897014,0.0245587992400596,0.0187199558635663,4168,"tags=52%, list=26%, signal=39%","147700/714/2903/857/90993/713/858/2904/84699/6262/6300/712/81027/3915/5602/116444/51807/56901/84790/776/1958/440567/84617/6263/5687/7388/143471/3309/4709/1351/9377/5690/203068/4715/5694/5691/1337/10213/522/5879/4712/4713/3798/518/1347/4729/4726/2905/10476/10376/4697/1349/4694/27089/1535/4696/1329/1345/4706/4700/29796/5685/514/4710/4717/4728/5686/7979/5600/1340/4689/9586/4514/54539/5700/55967/7416/5689/5714/10383/4707/6390/7386/539/5695/7384/513/5702/4702/4513/4716/5713/5715/374291/4695/5701/509/7381/4722/5684/516/5707/468/7417/5688/581/1327/291/4725/1537/5692/5708/10488/1350/1460/5717/727/5710/4718/4535/4701/51079/498/572/5693/11047/4509"
"hsa04611","Platelet activation",109,0.548537672374332,1.50306819621641,0.00199626681207491,0.0248107446643595,0.0189120013775517,1847,"tags=22%, list=12%, signal=20%","3674/3690/1278/5592/51206/2815/4638/108/2811/6300/9002/7450/5742/3673/23365/2983/5332/112/83660/5028/6915/2982/8605/109"
"hsa04115","p53 signaling pathway",71,0.586747073823189,1.56810466108301,0.00294953438878117,0.0353944126653741,0.0269794071133523,1249,"tags=21%, list=8%, signal=20%","3479/6241/9133/51512/983/891/7161/1111/9134/598/5054/1029/9540/7057/898"
"hsa04911","Insulin secretion",58,0.608219281529565,1.59979519983936,0.00346328688609758,0.0388781882697405,0.0296349166484411,1972,"tags=29%, list=12%, signal=26%","3782/90993/27445/2864/108/84699/6262/2740/5332/112/776/1131/11069/482/109/6804/27094"
"hsa05410","Hypertrophic cardiomyopathy",72,0.584910571844801,1.56251400787962,0.00342193781237633,0.0388781882697405,0.0296349166484411,2457,"tags=35%, list=15%, signal=30%","3479/3674/8516/3690/6547/3693/3672/284217/3679/6262/3680/3673/3696/487/1906/776/7171/8082/4607/7168/22801/1756/784/1837/71"
"hsa04082","Neuroactive ligand signaling",96,0.549626893402713,1.495410762509,0.00358095515198889,0.0389428872778792,0.02968423349675,2690,"tags=42%, list=17%, signal=35%","6536/2903/2904/3355/108/6507/150/2563/2901/2791/4988/2914/6532/116444/5332/112/6506/2570/6571/5028/1131/94235/2775/3357/1132/109/43/63910/6865/1814/5026/136/2900/6869/2787/1139/2905/2790/64805/6505"
"hsa05100","Bacterial invasion of epithelial cells",70,0.569498141846236,1.52012563764462,0.00381704304980425,0.0402524539797539,0.0306824513094313,3800,"tags=41%, list=24%, signal=32%","857/4233/2335/858/9564/2017/1759/8936/55964/1793/26052/25759/7414/5879/5747/71/81873/10459/391/10095/60/55752/2549/998/10552/10094/3688/1212/57180"
"hsa04975","Fat digestion and absorption",22,0.71806419423427,1.6527872711077,0.00398658714236299,0.0408038919277153,0.0311027851354636,2610,"tags=55%, list=16%, signal=46%","64600/1056/64241/391013/335/26279/8613/8612/81579/10555/948/38"
"hsa05415","Diabetic cardiomyopathy",179,0.500388365259988,1.39874415744014,0.00490995226488345,0.048818953947984,0.0372122697970114,4730,"tags=55%, list=30%, signal=39%","4313/1278/6262/6300/5602/56901/5332/1509/487/2597/440567/7388/4709/1351/9377/4715/1337/4318/948/522/5879/4712/4713/518/1347/4729/4726/10476/4697/1349/4694/27089/1535/4696/7042/1329/1345/4706/4700/29796/514/2936/4710/4717/4728/3667/2539/5600/1340/4689/4514/54539/55967/7416/177/4707/6390/7386/539/7384/513/4702/4513/4716/374291/4695/509/7381/4722/516/7417/1327/291/4725/1537/5524/1350/488/4718/4535/4701/51079/498/4509/5499/515/6391/4704/5880/4724/51660/10975/4714/4708/653361/506/292/7419"
