"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","15/687","89/9419",0.168539325842697,2.31073058240518,3.48472460757719,0.0018037785587988,0.0199618160507067,0.0164555236943048,"C1QC/C1QB/CLU/TFPI/PROS1/C1QA/F2RL3/F13A1/VWF/VSIG4/F3/SERPING1/C3/SERPINE1/THBD",15
"Organismal Systems","Immune system","hsa04611","Platelet activation","19/687","126/9419",0.150793650793651,2.06743143642707,3.38335945764613,0.00187191121169564,0.020047565234934,0.0165262110370413,"ITGA2B/MAPK12/GP9/GP6/ITGB3/MYLK/GP1BA/PRKG1/ARHGEF12/F2RL3/PTGS1/VWF/ADCY2/GUCY1B1/ITGA2/COL1A2/TLN2/PLCB4/ADCY6",19
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","36/687","300/9419",0.12,1.64524017467249,3.1857322180398,0.00203204516284719,0.0210824685645395,0.0173793336296141,"MYL6B/MYL9/DCC/MAPK12/ESAM/ITGB3/CABLES1/MYLK/TUBA1C/KCNA2/PARD3/CD209/TUBB1/MAPK10/TJP1/NTRK3/NLGN1/PTPRF/JAM3/MAGI2/SRGAP1/PPFIA4/TUBA8/NFASC/BCAR1/CADM2/CNTN2/GLDN/MAGI1/NRCAM/ANK2/PMP22/ROBO4/TRPC6/SPTBN2/UNC5B",36
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","16/687","100/9419",0.16,2.19365356622999,3.36584794217873,0.00225089993228624,0.0226454175005767,0.0186677506345908,"PPBP/PF4/PF4V1/CCL25/CXCL5/CCR1/IL18RAP/CCL7/CCL3/CCR3/CXCR4/CCL4/IL10/CCL20/TNF/XCL1",16
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","10/687","49/9419",0.204081632653061,2.79802750794641,3.53936559007123,0.0024252462909923,0.0236818167238072,0.0195221063671207,"MAOB/GRIN2A/CREB3L1/GRIN2B/FOSB/SLC18A2/SLC18A1/MAOA/CREB3L3/GRIN3B",10
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","15/687","94/9419",0.159574468085106,2.18781938121342,3.24631577270494,0.0031307849868974,0.0296977318757124,0.024481326213333,"HSP90B1/LCN2/MAPK12/S100A9/MAPK10/CXCL5/S100A8/MUC5AC/CCL7/MMP1/FOSB/IL1B/CCL20/TNF/TNFAIP3",15
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","26/687","204/9419",0.127450980392157,1.74739561035477,3.02704449522849,0.00364806454704181,0.03364326193383,0.0277338240418383,"SDC1/CAV1/IGF1/CAV2/MAPK12/CD63/MET/ITGB3/ITGB5/CTTN/WNT11/FN1/ARHGEF12/MMP2/ANK1/GPC1/ITGA2/FZD5/SDC2/FASLG/TIMP3/COL1A2/WNT7A/ANK2/TNF/THBS1",26
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","9/687","44/9419",0.204545454545455,2.80438666137356,3.36489220518962,0.00388459774584705,0.0342637941117142,0.0282453597623516,"PTPRN/CPE/IL12A/FASLG/IL1B/TNF/IL1A/HLA-DQA1/HLA-DQB2",9
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","28/687","226/9419",0.123893805309735,1.69862554907189,2.98174775905249,0.00392175956700343,0.0342637941117142,0.0282453597623516,"TSHR/MYL9/OXTR/GRIN2A/MAPK10/ADORA1/FFAR2/PTGER3/CREB3L1/RYR2/ADCY2/HCAR2/SUCNR1/HCAR3/GRIN2B/PDE10A/HTR1F/POPDC1/PDE3A/ATP2A1/CREB3L3/ADCY6/GRIN3B/EDN1/SSTR2/GLP1R/CACNA1D/HTR6",28
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","7/687","30/9419",0.233333333333333,3.19907811741873,3.38370476443748,0.00492827298462964,0.0419535033563344,0.0345843718219624,"TYMS/GGH/DHFR/ABCC3/IL1B/FOLR3/TNF",7
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","21/687","160/9419",0.13125,1.79948144104804,2.86079793707236,0.00608110080844378,0.0493100047214243,0.0406487039555178,"SDC1/SELP/ESAM/NLGN1/ITGA8/CLDN5/PTPRF/ITGA9/JAM3/NRXN3/CD34/SDC2/ITGB8/NRXN1/CDH5/SIGLEC1/NFASC/CNTN2/NRCAM/HLA-DQA1/HLA-DQB2",21
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","26/687","212/9419",0.122641509433962,1.68145615336025,2.81480053175774,0.00608948853487469,0.0493100047214243,0.0406487039555178,"EGF/ITGA2B/IGF1/MAPK12/RAP1GAP/MET/ITGB3/PARD3/GRIN2A/F2RL3/LPAR1/ADCY2/GRIN2B/MAGI2/PDGFA/ID1/FGF9/VEGFC/RAPGEF5/PRKD1/BCAR1/TLN2/PLCB4/MAGI1/ADCY6/THBS1",26
